,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
109,"8, Croft Road, Ballachulish, Argyll PH49 4JW",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20416936?s=f82ee5f82e4c484b8b0a9804571ba513c5d31fe638090b2791c37f3f4ac5a539,56.67569,-5.13799,b5b4ec02-02df-44e0-9828-42c963bb3d8b,109
110,"5, Albert Road, Ballachulish, Argyll PH49 4JR",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19810703?s=b2e378b722bb67495c6b8a2ec895134be7e47a42cd3708c37e48dfc97d9c87bd,56.67737,-5.13535,d7cc052f-52ec-4b88-9e44-6a9f3a0f4c03,110
111,"13, West Laroch, Ballachulish, Argyll PH49 4JJ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19810697?s=565060e806d04dfc517af4a3a22327c28b710f87d6fd935d93d4ac2d2fcc9305,56.67512,-5.13892,f277ea8e-c951-4375-bd89-5a1261d341fa,111
112,"Glenachulish, Ballachulish PH49 4JZ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19810706?s=4edeb72600c1d880f60ccd817adaaebb5420d6f9a2cedf76155841dd7bdb4ead,56.68232,-5.19178,b86fde40-ecd0-43a5-ab80-b573d439b722,112
113,"Allanbreck, Lettermore, Ballachulish, Argyll PH49 4JD",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19810694?s=70a8940cd7a6b0c057e4dad58ed455f487975ee922ebaebc0ce7ec882fec02d5,56.68595,-5.20418,f16ce53c-73ae-4bc0-bbb7-8f100dcb8909,113
114,"Callart View, Glencoe, Ballachulish, Argyll PH49 4HP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19810691?s=ae869117bb53b71e55327a8c17a7172ecca10a4cd8ead8ba8259fccbef5bf59b,56.68306,-5.10577,17e2eb4a-64e1-4d4e-a221-4a43fea61a17,114
115,"Kinallen, Old Railway Goods Yard, Ballachulish PH49 4LR",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19728077?s=19d3ed8d671b3ea6ee8118b55f0ce57a6aeca1f1936a4e7c8070dfa183379840,56.67796,-5.13344,081031c6-6609-465f-bc6c-f90f2a1c04e5,115
116,"Buckie Breer, West Laroch, Ballachulish, Argyll PH49 4JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19728068?s=89c81e2c23f74e735b5b445b578f7c9ed7be6231b723d9d39c88b0fcd983a614,56.67655,-5.14296,0687b259-c635-44c6-b313-fd217b6b58ab,116
117,"Hazelwood, Tigh A' Phuirt, Ballachulish, Argyll PH49 4HN",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19728059?s=18417698515634aec02a222766b7f8c9ece33fda955a13b2fe93dd930f3e73a9,56.68045,-5.11307,b793b804-579b-4143-ade3-0f04b9aad977,117
118,"67, Loanfern, Ballachulish, Argyll PH49 4JB",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19687346?s=c97cb3ca7f0a6e4c7fa95fcf71fa4a14d8c1f24ca8c3b69a843e203570d1d1ab,56.67685,-5.1309,a9c7e31b-cab9-4e7c-b9c5-1abe89951315,118
119,"Craighlinnhe Guest House, Lettermore, Ballachulish, Argyll PH49 4JD",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19647524?s=0e98fda559f95730f597e06cf8b0eacf0ff87d260e06e520517f4ce39e948886,56.68595,-5.20418,23fec7ad-1c9a-41c2-90c0-d2f9bab4facf,119
120,"10, Glencoe, Ballachulish, Argyll PH49 4HU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19647521?s=7707d6820dca60996b943ef6764be0f0c52daa4aa90a36b7a2ae4d32a7baa4b5,56.68208,-5.09459,14ed2cff-7efa-48f9-be50-3fcea63c08ba,120
121,"5, Maccoll Terrace, Ballachulish, Argyll PH49 4JH",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19564913?s=20fa72de49a4dbe1ad1ef4a888e34a73319409a9124007fcd841876550e59b16,56.67392,-5.1367,2c46e34d-0a8e-4534-851a-e7ce8444b520,121
122,"Fern Villa, Loan Fern, Ballachulish, Argyll PH49 4JE",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19564910?s=75a51ccefaaf325572a4b88cf697bf04f73c2a1b6ffed5835d32ef1fcc669b80,56.67481,-5.13351,ebd24dda-4190-4c08-a422-a3520eb6c235,122
123,"8, Glencoe, Ballachulish, Argyll PH49 4HU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19564904?s=1a458b2159ea00882509b29daf23152bd6e839f28cb908a8d8c490d4b6ea27cf,56.68208,-5.09459,06743ee2-4696-442f-8937-c56bbc7d91c8,123
124,"3, Park Road, Ballachulish, Argyll PH49 4JS",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19524401?s=c302d34e890e99df935c494c519282029dd9eea01b75a702ec454ada095c2960,56.67632,-5.13412,d2558763-0946-42ea-9877-4132f763e829,124
