,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
52,"14, Tormusk Gardens, Glasgow, Lan G45 0DL",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-128803700-780720?s=6f0411c83b2d1605c7795f8bd995381c2586258fc547f7ba55f3852eec4e6895,55.81008,-4.21333,54e105f3-aa9a-4fca-acf8-b14fda49c9c7,52
53,"74, Ardencraig Terrace, Glasgow, Gla G45 9BH",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-780723?s=da10d1d238d59c20e5cd55067e371c9516c1b5d4c5b424acb8f7e5b08a57a45d,55.80268,-4.22731,2ad9b0d0-54d3-4a7b-8e7b-8409b3a398d9,53
54,"53, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175213?s=60112a6b11ee7784c534d8323d0c82ad33e214c6a8868331bc3ff46523d6db86,55.80344,-4.22796,76abb26d-2330-420c-bcb0-5c37f8652993,54
55,"43 3/1, Glenacre Drive, Glasgow G45 9DU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175201?s=4f777d9fe7f0b8fef5b3a22185300000b4801e05dbf4f9a031f9cc8e540de160,55.80809,-4.23413,ecc8b260-3a18-4bb6-bc65-02a14c332e35,55
56,"51, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175219?s=2ba7f08e8ed76a2e7edecbd1325ae46875db44b8b65a956102b26f859afc2b60,55.80344,-4.22796,0140807c-057c-4db5-8d0b-b62b68e2fcfb,56
57,"70, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175222?s=48450dbc90515a2e5286d8ebe54694e8a38e9cd61bf7af7e3da2a33d66763224,55.80344,-4.22796,78e0eb63-362f-44af-8e22-f425c4054ed6,57
58,"1 Flat 2/2, Ardmaleish Road, Glasgow G45 9JL",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175207?s=301f735cb70149f725e3adac876c4a69d75ea9fd8713468d40d7c45dd10b98f8,55.80244,-4.23364,58ec6cbb-9b54-4647-b465-48ccddabd853,58
59,"49, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175225?s=633c88a895b69fed840e89ecc77c035b0eb7de3fff9bb995b7898dcfe0f62130,55.80344,-4.22796,41c90bfd-09f9-4df2-89b9-c7e3418c8a84,59
60,"72, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175210?s=f39ba47a1f7d45a0c602d94d90887d1e3b756307b899c51bf512d0e0970557de,55.80344,-4.22796,936b879c-07e0-436a-b570-c969b41321df,60
61,"66, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175231?s=b1295a0e741fcb497a8a2a4c2a1ebdbef70a117c605e2c71cdb77fe944274b06,55.80344,-4.22796,579b72f5-cb56-4bc2-b2d4-8ed4fa0aafd0,61
62,"62, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175216?s=390dbb4e6773d5c830849cd074d519171d753a7627835da1dc1b632d902a4f5b,55.80344,-4.22796,8bedabfc-bb57-4325-8da4-aa3d6d60170b,62
63,"68, Ardencraig Terrace, Glasgow G45 9JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175228?s=31978d02aa6c24956bc00aacf62fa91cf4f07318e9bf9b3605efd9aa412d971f,55.80344,-4.22796,52e72528-6131-4362-b729-0bfae8ee8c27,63
64,"264 Flat 1/1, Ardencraig Road, Glasgow G45 0PY",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21175198?s=c6d986f537173615d04e96a5e2b1a626573d27f6f8b41f03b7b5c498f3b8bb62,55.79917,-4.23027,11e180de-b6c8-49e7-a657-28be85c4b3fe,64
65,"16, Raithburn Avenue, Glasgow G45 9RG",Unknown,4.0,https://www.rightmove.co.uk/house-prices/details/scotland-115556816-21175234?s=5380f2504d8a59943f0f24c6239448ecdf2021dcdbe63ad11351ef5e5d85ccfc,55.80925,-4.24473,23520327-8e3b-47e9-b2eb-3b92ea3e59c2,65
66,"184, Tormusk Road, Glasgow G45 0DJ",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-111752834-21175195?s=ac364aecc1b078fa44db01fb8bc9e3752a688abdd4cde4a23158450d911b0cab,55.80918,-4.21376,84dcc5ad-5b18-471c-be76-a564cce6fc08,66
67,"10, Westcastle Gardens, Glasgow G45 9DW",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-114372365-21175204?s=ad6b052e209c0ead674b499d1792618eb121837b7f6417ae150c125a4f02e52d,55.80516,-4.24178,93451e96-017a-4d8d-bf7a-300d3d7d7168,67
